LSOA_code,IMD_decile,population,__core20,__core20_pop,__core20_density,__core20_pct
E01002989,9,1901,False,0,0.0,0.0
E01002990,9,1809,False,0,0.0,0.0
E01002991,9,1600,False,0,0.0,0.0
E01002992,10,1829,False,0,0.0,0.0
E01002993,9,1579,False,0,0.0,0.0
E01002994,9,1644,False,0,0.0,0.0
E01002995,10,1619,False,0,0.0,0.0
E01002996,9,1631,False,0,0.0,0.0
E01002997,10,1510,False,0,0.0,0.0
E01002998,6,1651,False,0,0.0,0.0
E01002999,7,1678,False,0,0.0,0.0
E01003000,6,2018,False,0,0.0,0.0
E01003001,8,2012,False,0,0.0,0.0
E01003002,5,2004,False,0,0.0,0.0
E01003003,5,1854,False,0,0.0,0.0
E01003004,8,1679,False,0,0.0,0.0
E01003005,9,1549,False,0,0.0,0.0
E01003006,10,1560,False,0,0.0,0.0
E01003007,10,1680,False,0,0.0,0.0
E01003008,10,1513,False,0,0.0,0.0
E01003009,8,2087,False,0,0.0,0.0
E01003010,10,1421,False,0,0.0,0.0
E01003011,9,1695,False,0,0.0,0.0
E01003013,7,2416,False,0,0.0,0.0
E01003014,3,1481,False,0,0.0,0.0
E01003015,4,1663,False,0,0.0,0.0
E01003016,6,1340,False,0,0.0,0.0
E01003017,3,1662,False,0,0.0,0.0
E01003018,5,1996,False,0,0.0,0.0
E01003019,7,2033,False,0,0.0,0.0
E01003020,4,1828,False,0,0.0,0.0
E01003021,4,2043,False,0,0.0,0.0
E01003022,5,1543,False,0,0.0,0.0
E01003023,5,2517,False,0,0.0,0.0
E01003024,3,1739,False,0,0.0,0.0
E01003025,4,2019,False,0,0.0,0.0
E01003026,7,1551,False,0,0.0,0.0
E01003027,9,1359,False,0,0.0,0.0
E01003028,7,1379,False,0,0.0,0.0
E01003029,6,1820,False,0,0.0,0.0
E01003030,5,1763,False,0,0.0,0.0
E01003031,4,1600,False,0,0.0,0.0
E01003032,4,1736,False,0,0.0,0.0
E01003033,8,1765,False,0,0.0,0.0
E01003034,4,1676,False,0,0.0,0.0
E01003035,4,1695,False,0,0.0,0.0
E01003036,6,1795,False,0,0.0,0.0
E01003037,2,1406,True,1406,12213.35689169447,20.08580180958914
E01003038,8,1766,False,0,0.0,0.0
E01003039,8,1991,False,0,0.0,0.0
E01003040,6,1208,False,0,0.0,0.0
E01003041,2,1569,True,1569,16044.623179441363,26.386612963955386
E01003042,4,1086,False,0,0.0,0.0
E01003043,5,1608,False,0,0.0,0.0
E01003044,2,1485,True,1485,22305.077423420116,36.68240995880702
E01003045,3,2048,False,0,0.0,0.0
E01003046,2,1535,True,1535,16154.404905188027,26.567157428938774
E01003047,2,1891,True,1891,10379.594540177803,17.070039027491333
E01003048,2,1844,True,1844,14969.262171208149,24.618099337712245
E01003049,3,1713,False,0,0.0,0.0
E01003050,4,1547,False,0,0.0,0.0
E01003051,3,2120,False,0,0.0,0.0
E01003052,3,2175,False,0,0.0,0.0
E01003053,6,1696,False,0,0.0,0.0
E01003054,7,2181,False,0,0.0,0.0
E01003055,3,1574,False,0,0.0,0.0
E01003056,5,1549,False,0,0.0,0.0
E01003057,3,1714,False,0,0.0,0.0
E01003058,5,1921,False,0,0.0,0.0
E01003059,4,2306,False,0,0.0,0.0
E01003060,4,1825,False,0,0.0,0.0
E01003061,3,1386,False,0,0.0,0.0
E01003062,4,1731,False,0,0.0,0.0
E01003063,3,1430,False,0,0.0,0.0
E01003064,7,1367,False,0,0.0,0.0
E01003065,3,1638,False,0,0.0,0.0
E01003066,3,1882,False,0,0.0,0.0
E01003067,6,1498,False,0,0.0,0.0
E01003068,4,1470,False,0,0.0,0.0
E01003069,3,1264,False,0,0.0,0.0
E01003070,3,1469,False,0,0.0,0.0
E01003071,7,2319,False,0,0.0,0.0
E01003072,7,1802,False,0,0.0,0.0
E01003073,3,1570,False,0,0.0,0.0
E01003074,5,2257,False,0,0.0,0.0
E01003075,2,1640,True,1640,20821.04998731824,34.24181305937429
E01003076,5,2574,False,0,0.0,0.0
E01003077,4,1835,False,0,0.0,0.0
E01003078,7,1622,False,0,0.0,0.0
E01003079,3,1691,False,0,0.0,0.0
E01003080,5,1625,False,0,0.0,0.0
E01003081,3,1852,False,0,0.0,0.0
E01003082,2,1406,True,1406,11140.183602637704,18.32088605526465
E01003083,6,1500,False,0,0.0,0.0
E01003084,5,1540,False,0,0.0,0.0
E01003085,7,1765,False,0,0.0,0.0
E01003086,2,1517,True,1517,10475.067774131505,17.22705208068547
E01003087,1,1573,True,1573,11782.567488346,19.37733560704881
E01003088,4,1517,False,0,0.0,0.0
E01003089,4,1942,False,0,0.0,0.0
E01003090,5,2508,False,0,0.0,0.0
E01003091,4,1685,False,0,0.0,0.0
E01003092,4,2327,False,0,0.0,0.0
E01003093,2,2161,True,2161,29241.12162598964,48.08926643821615
E01003094,4,1500,False,0,0.0,0.0
E01003095,6,1588,False,0,0.0,0.0
E01003096,4,2260,False,0,0.0,0.0
E01003097,3,1502,False,0,0.0,0.0
E01003098,5,1374,False,0,0.0,0.0
E01003099,3,1681,False,0,0.0,0.0
E01003100,6,2101,False,0,0.0,0.0
E01003101,3,1614,False,0,0.0,0.0
E01003102,4,1738,False,0,0.0,0.0
E01003104,5,1685,False,0,0.0,0.0
E01003105,3,1683,False,0,0.0,0.0
E01003106,4,1998,False,0,0.0,0.0
E01003107,5,1804,False,0,0.0,0.0
E01003108,3,1521,False,0,0.0,0.0
E01003110,6,2064,False,0,0.0,0.0
E01003111,3,2006,False,0,0.0,0.0
E01003112,3,1700,False,0,0.0,0.0
E01003113,3,1764,False,0,0.0,0.0
E01003114,5,2426,False,0,0.0,0.0
E01003115,4,1594,False,0,0.0,0.0
E01003116,6,1808,False,0,0.0,0.0
E01003117,4,1883,False,0,0.0,0.0
E01003118,4,1967,False,0,0.0,0.0
E01003119,4,2114,False,0,0.0,0.0
E01003120,3,2507,False,0,0.0,0.0
E01003121,3,1473,False,0,0.0,0.0
E01003122,5,1885,False,0,0.0,0.0
E01003123,6,1559,False,0,0.0,0.0
E01003124,4,1384,False,0,0.0,0.0
E01003125,3,1692,False,0,0.0,0.0
E01003126,4,1632,False,0,0.0,0.0
E01003127,5,2114,False,0,0.0,0.0
E01003128,3,1615,False,0,0.0,0.0
E01003129,4,1731,False,0,0.0,0.0
E01003130,5,1875,False,0,0.0,0.0
E01003131,7,2101,False,0,0.0,0.0
E01003132,2,1473,True,1473,10189.756032899795,16.75783504730573
E01003133,4,1608,False,0,0.0,0.0
E01003134,5,1627,False,0,0.0,0.0
E01003135,4,1801,False,0,0.0,0.0
E01003136,5,1600,False,0,0.0,0.0
E01003137,3,1608,False,0,0.0,0.0
E01003138,8,1452,False,0,0.0,0.0
E01003139,4,1553,False,0,0.0,0.0
E01003140,6,1546,False,0,0.0,0.0
E01003141,4,1797,False,0,0.0,0.0
E01003142,5,1390,False,0,0.0,0.0
E01003143,3,1586,False,0,0.0,0.0
E01003144,7,1530,False,0,0.0,0.0
E01003145,3,1640,False,0,0.0,0.0
E01003146,4,1597,False,0,0.0,0.0
E01003147,4,2023,False,0,0.0,0.0
E01003148,5,1772,False,0,0.0,0.0
E01003149,7,1753,False,0,0.0,0.0
E01003150,3,1950,False,0,0.0,0.0
E01003151,3,1968,False,0,0.0,0.0
E01003152,7,1798,False,0,0.0,0.0
E01003153,6,2362,False,0,0.0,0.0
E01003154,4,1992,False,0,0.0,0.0
E01003155,5,1816,False,0,0.0,0.0
E01003156,6,1498,False,0,0.0,0.0
E01003157,8,1444,False,0,0.0,0.0
E01003158,9,1463,False,0,0.0,0.0
E01003159,5,1774,False,0,0.0,0.0
E01003160,4,1153,False,0,0.0,0.0
E01003161,7,1238,False,0,0.0,0.0
E01003162,3,1839,False,0,0.0,0.0
E01003163,7,1621,False,0,0.0,0.0
E01003164,4,2291,False,0,0.0,0.0
E01003165,5,1603,False,0,0.0,0.0
E01003166,4,2619,False,0,0.0,0.0
E01003167,7,1669,False,0,0.0,0.0
E01003168,2,1625,True,1625,8059.719843368989,13.254827223202714
E01003169,4,2201,False,0,0.0,0.0
E01003170,8,1808,False,0,0.0,0.0
E01003171,5,1631,False,0,0.0,0.0
E01003172,4,1855,False,0,0.0,0.0
E01003173,7,1588,False,0,0.0,0.0
E01003174,3,1957,False,0,0.0,0.0
E01003175,3,1544,False,0,0.0,0.0
E01003176,3,1976,False,0,0.0,0.0
E01003177,4,1545,False,0,0.0,0.0
E01003178,5,1434,False,0,0.0,0.0
E01003179,3,1568,False,0,0.0,0.0
E01003180,4,1589,False,0,0.0,0.0
E01003181,3,1483,False,0,0.0,0.0
E01003182,3,1735,False,0,0.0,0.0
E01003183,3,1522,False,0,0.0,0.0
E01003184,3,1350,False,0,0.0,0.0
E01003185,4,1822,False,0,0.0,0.0
E01003186,5,2363,False,0,0.0,0.0
E01003187,4,2298,False,0,0.0,0.0
E01003188,2,1271,True,1271,15549.956654490708,25.573095937465013
E01003189,2,1678,True,1678,8898.641494780508,14.634498199286602
E01003190,2,2312,True,2312,7041.223530767009,11.579831948755896
E01003191,3,1622,False,0,0.0,0.0
E01003192,2,1716,True,1716,1684.7843938252772,2.7707571084961824
E01003193,4,1838,False,0,0.0,0.0
E01003194,2,1788,True,1788,5368.909933032326,8.829584020569822
E01003195,5,1485,False,0,0.0,0.0
E01003196,2,1642,True,1642,6141.997582528582,10.10098593299429
E01003197,1,1634,True,1634,7728.8057798871105,12.710613674540856
E01003198,6,1514,False,0,0.0,0.0
E01003199,8,1947,False,0,0.0,0.0
E01003200,7,1432,False,0,0.0,0.0
E01003201,3,1644,False,0,0.0,0.0
E01003202,8,1623,False,0,0.0,0.0
E01003203,3,2024,False,0,0.0,0.0
E01003204,4,1663,False,0,0.0,0.0
E01003205,4,1514,False,0,0.0,0.0
E01003206,7,1300,False,0,0.0,0.0
E01003207,3,2292,False,0,0.0,0.0
E01003209,4,1914,False,0,0.0,0.0
E01003210,4,1754,False,0,0.0,0.0
E01003211,4,1509,False,0,0.0,0.0
E01003212,5,1994,False,0,0.0,0.0
E01003213,5,1912,False,0,0.0,0.0
E01003214,3,1747,False,0,0.0,0.0
E01003215,4,1939,False,0,0.0,0.0
E01003216,4,1744,False,0,0.0,0.0
